_id,afluencia,año,fecha,mes,meterId,source,vehiculos,vel_circulacion,vel_media
10_2024-02-13,4,2024,2024-02-13,1,10,1,11738,0,93.42708333333333
10_2024-02-14,4,2024,2024-02-14,1,10,1,9274,0,95.15625
10_2024-02-15,4,2024,2024-02-15,1,10,1,9050,0,95.54166666666667
10_2024-02-16,4,2024,2024-02-16,1,10,1,9740,0,96.41666666666667
10_2024-02-17,4,2024,2024-02-17,1,10,1,6678,0,99.72916666666667
10_2024-02-18,4,2024,2024-02-18,1,10,1,9362,2,102.10416666666667
10_2024-02-19,4,2024,2024-02-19,1,10,1,11155,0,94.96875
10_2024-02-20,4,2024,2024-02-20,1,10,1,11172,0,92.3125
10_2024-02-21,4,2024,2024-02-21,1,10,1,10336,0,94
10_2024-02-22,4,2024,2024-02-22,1,10,1,9360,0,94.97916666666667
10_2024-02-23,4,2024,2024-02-23,1,10,1,9608,0,97.6875
10_2024-02-24,4,2024,2024-02-24,1,10,1,6290,0,100.08333333333333
10_2024-02-25,4,2024,2024-02-25,1,10,1,8280,0,99.95833333333333
10_2024-02-26,0,2024,2024-02-26,1,10,1,15839,0,91.1875
10_2024-02-27,0,2024,2024-02-27,1,10,1,14649,0,86.27083333333333
10_2024-02-28,4,2024,2024-02-28,1,10,1,9920,0,94.14583333333333
10_2024-02-29,4,2024,2024-02-29,1,10,1,9512,0,96.125
10_2024-03-01,4,2024,2024-03-01,1,10,1,9422,0,96.625
10_2024-03-02,4,2024,2024-03-02,1,10,1,5879,0,97.86458333333333
10_2024-03-03,4,2024,2024-03-03,1,10,1,9068,0,101.45833333333333
10_2024-03-04,4,2024,2024-03-04,1,10,1,10942,0,94.60416666666667
10_2024-03-05,4,2024,2024-03-05,1,10,1,11148,0,92.14583333333333
10_2024-03-06,4,2024,2024-03-06,1,10,1,9860,0,94.04166666666667
10_2024-03-07,4,2024,2024-03-07,1,10,1,9118,0,96.39583333333333
10_2024-03-08,4,2024,2024-03-08,1,10,1,9618,0,96.95833333333333
10_2024-03-09,4,2024,2024-03-09,1,10,1,6054,0,99.52083333333333
10_2024-03-10,4,2024,2024-03-10,1,10,1,8440,2,101.89583333333333
10_2024-03-11,4,2024,2024-03-11,1,10,1,10210,0,94.60416666666667
10_2024-03-12,4,2024,2024-03-12,1,10,1,10928,0,92.60416666666667
10_2024-03-13,4,2024,2024-03-13,1,10,1,10046,0,94.375
10_2024-03-14,4,2024,2024-03-14,1,10,1,9146,0,96.16666666666667
10_2024-03-15,4,2024,2024-03-15,1,10,1,10414,0,98.375
10_2024-03-16,4,2024,2024-03-16,1,10,1,7122,0,100.66666666666667
10_2024-03-17,4,2024,2024-03-17,1,10,1,9082,2,103.35416666666667
10_2024-03-18,4,2024,2024-03-18,1,10,1,11370,0,94.20833333333333
10_2024-03-19,4,2024,2024-03-19,1,10,1,11456,0,92.72916666666667
10_2024-03-20,4,2024,2024-03-20,1,10,1,10260,0,94.22916666666667
10_2024-03-21,4,2024,2024-03-21,1,10,1,10408,0,97.15463917525773
10_2024-03-22,4,2024,2024-03-22,1,10,1,10814,0,97.51578947368421
10_2024-03-23,4,2024,2024-03-23,1,10,1,8498,0,100.79166666666667
10_2024-03-24,4,2024,2024-03-24,1,10,1,9886,2,102.16666666666667
10_2024-03-25,4,2024,2024-03-25,1,10,1,11224,0,94.5625
10_2024-03-26,4,2024,2024-03-26,1,10,1,10920,0,93.2
10_2024-03-27,4,2024,2024-03-27,1,10,1,10630,0,97.5979381443299
10_2024-03-28,4,2024,2024-03-28,1,10,1,8846,2,102.33333333333333
10_2024-03-29,4,2024,2024-03-29,1,10,1,5974,2,103.52083333333333
10_2024-03-30,4,2024,2024-03-30,1,10,1,6612,2,106.5
10_2024-03-31,4,2024,2024-03-31,1,10,1,12230,2,108.08695652173913
10_2024-04-01,3,2024,2024-04-01,1,10,1,22383,2,103.30208333333333
10_2024-04-02,0,2024,2024-04-02,1,10,1,16154,0,94.89583333333333
10_2024-04-03,4,2024,2024-04-03,1,10,1,11057,0,95.4375
10_2024-04-04,4,2024,2024-04-04,1,10,1,10408,0,97.375
10_2024-04-05,4,2024,2024-04-05,1,10,1,12048,0,99.375
10_2024-04-06,4,2024,2024-04-06,1,10,1,10752,2,103.16666666666667
10_2024-04-07,0,2024,2024-04-07,1,10,1,19984,2,106.10416666666667
10_2024-04-08,0,2024,2024-04-08,1,10,1,14402,0,98.0625
10_2024-04-09,4,2024,2024-04-09,1,10,1,11576,0,93.60416666666667
10_2024-04-10,4,2024,2024-04-10,1,10,1,12014,0,96.97916666666667
10_2024-04-11,4,2024,2024-04-11,1,10,1,11073,0,98.90625
10_2024-04-12,4,2024,2024-04-12,1,10,1,9846,0,98.4375
10_2024-04-13,4,2024,2024-04-13,1,10,1,6878,2,102.16666666666667
10_2024-04-14,4,2024,2024-04-14,1,10,1,9402,2,104.33333333333333
10_2024-04-15,4,2024,2024-04-15,1,10,1,11822,0,95.22916666666667
10_2024-04-16,4,2024,2024-04-16,1,10,1,10396,0,93.06521739130434
10_2024-04-17,4,2024,2024-04-17,1,10,1,9934,0,94.66666666666667
10_2024-04-18,4,2024,2024-04-18,1,10,1,9770,0,96.375
10_2024-04-19,4,2024,2024-04-19,1,10,1,10972,0,98.77083333333333
10_2024-04-20,4,2024,2024-04-20,1,10,1,7960,2,102.04166666666667
10_2024-04-21,4,2024,2024-04-21,1,10,1,10170,2,103.39583333333333
10_2024-04-22,4,2024,2024-04-22,1,10,1,11236,0,95.02083333333333
10_2024-04-23,4,2024,2024-04-23,1,10,1,10124,0,93.0625
10_2024-04-24,4,2024,2024-04-24,1,10,1,10750,0,94.39583333333333
10_2024-04-25,4,2024,2024-04-25,1,10,1,10168,0,96.39583333333333
10_2024-04-26,4,2024,2024-04-26,1,10,1,10006,0,97.70833333333333
10_2024-04-27,4,2024,2024-04-27,1,10,1,6746,0,100.04166666666667
10_2024-04-28,4,2024,2024-04-28,1,10,1,10230,2,103.29166666666667
10_2024-04-29,4,2024,2024-04-29,1,10,1,11287,0,96.78125
10_2024-04-30,4,2024,2024-04-30,1,10,1,11784,0,96.08333333333333
10_2024-05-01,4,2024,2024-05-01,1,10,1,11063,0,98.52083333333333
10_2024-05-02,4,2024,2024-05-02,1,10,1,8570,0,96.6875
10_2024-05-03,4,2024,2024-05-03,1,10,1,8616,0,96.77083333333333
10_2024-05-04,4,2024,2024-05-04,1,10,1,6912,0,100.95833333333333
10_2024-05-05,4,2024,2024-05-05,1,10,1,11965,2,103.51041666666667
10_2024-05-06,4,2024,2024-05-06,1,10,1,10122,0,95.64583333333333
10_2024-05-07,4,2024,2024-05-07,1,10,1,8562,0,94.95744680851064
10_2024-05-08,4,2024,2024-05-08,1,10,1,9854,0,94.83333333333333
10_2024-05-09,2,2024,2024-05-09,1,10,1,4116,0,93.96
10_2024-05-11,2,2024,2024-05-11,1,10,1,722,2,106
10_2024-05-12,4,2024,2024-05-12,1,10,1,11830,2,105.25
10_2024-05-13,4,2024,2024-05-13,1,10,1,11786,0,95.72916666666667
10_2024-05-14,4,2024,2024-05-14,1,10,1,11040,0,92.27083333333333
10_2024-05-15,4,2024,2024-05-15,1,10,1,9496,0,94.91666666666667
