_id,cause,cityTown,incidenceType,province,road,sourceId,startDate,clave_union,nivel_incidencias
227844,Desconocida,road,Vialidad invernal tramos,ARABA,AP-1,1,2024-01-23T20:06:44.000Z,2024-01-23_ARABA_Vialidad invernal tramos,1
227840,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,A-8,1,2024-01-23T20:06:44.000Z,2024-01-23_GIPUZKOA_Vialidad invernal tramos,1
228144,Obras,Derio,Obras,BIZKAIA,BI-631,1,2024-01-24T23:22:37.000Z,2024-01-24_BIZKAIA_Obras,1
228140,Obras,Alegia,Obras,GIPUZKOA,N-1,1,2024-01-24T20:01:06.000Z,2024-01-24_GIPUZKOA_Obras,0
228143,Obras,Gordexola,Obras,BIZKAIA,BI-636,1,2024-01-24T23:32:38.000Z,2024-01-24_BIZKAIA_Obras,1
227841,Desconocida,road,Vialidad invernal tramos,ARABA,N-622,1,2024-01-23T20:06:44.000Z,2024-01-23_ARABA_Vialidad invernal tramos,1
227839,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,A-8,1,2024-01-23T20:06:44.000Z,2024-01-23_GIPUZKOA_Vialidad invernal tramos,1
227838,Desconocida,road,Vialidad invernal tramos,BIZKAIA,A-8,1,2024-01-23T20:06:44.000Z,2024-01-23_BIZKAIA_Vialidad invernal tramos,0
228139,Obras,Bergara,Obras,GIPUZKOA,AP-1,1,2024-01-24T20:55:15.000Z,2024-01-24_GIPUZKOA_Obras,0
228138,Unknown cause,Mañaria,Otras incidencias,BIZKAIA,BI-623,1,2024-01-24T19:41:00.000Z,2024-01-24_BIZKAIA_Otras incidencias,0
228141,Obras,Alonsotegi,Obras,BIZKAIA,BI-636,1,2024-01-24T22:20:07.000Z,2024-01-24_BIZKAIA_Obras,1
228142,Obras,Bilbao,Obras,BIZKAIA,A-8,1,2024-01-24T23:33:19.000Z,2024-01-24_BIZKAIA_Obras,1
228137,Unknown cause,Oiartzun,Otras incidencias,GIPUZKOA,GI-2134,1,2024-01-24T19:50:55.000Z,2024-01-24_GIPUZKOA_Otras incidencias,0
228136,Avería,Bilbao,Seguridad vial,BIZKAIA,A-8,1,2024-01-24T19:52:10.000Z,2024-01-24_BIZKAIA_Seguridad vial,1
228135,Alcance,Abadiño,Accidente,BIZKAIA,BI-623,1,2024-01-24T17:54:33.000Z,2024-01-24_BIZKAIA_Accidente,0
228133,Avería,Olaberria,Seguridad vial,GIPUZKOA,N-1,1,2024-01-24T18:20:39.000Z,2024-01-24_GIPUZKOA_Seguridad vial,0
228134,Caída de objetos,Berriz,Seguridad vial,BIZKAIA,BI-633,1,2024-01-24T18:12:04.000Z,2024-01-24_BIZKAIA_Seguridad vial,1
228132,Salida,Bergara,Accidente,GIPUZKOA,GI-2632,1,2024-01-24T18:32:54.000Z,2024-01-24_GIPUZKOA_Accidente,0
